凱帕	Kepa	케파
死靈查普利權杖	Chapparition Rod	채퍼리션 로드
階權杖	Circle Rod	서클 로드
賽伊摩斯權杖	Seimos Rod	세이모스 로드
堤爾利權杖	Tilly Rod	틸리 로드
卡斯堤權杖	Khasti Rod	카스티 로드
매직 階	Magic Circle	매직 서클
班夏拉權杖	Pensara Rod	펜사라 로드
溫迪亞權杖	Windia Rod	윈디아 로드
(褪色的)保羅史派亞	(Faded) Baule Sphere	(바랜)보울 스피아
(褪色的)波馬涅權杖	(Faded) Pamane Rod	(바랜)파마네 로드
(褪色的)塞柯帝斯權杖	(Faded) Sketis Rod	(바랜)스케티스 로드
(褪色的)帕澤里達斯權杖	(Faded) Pajoritas Rod	(바랜)파저리타스 로드
(褪色的)弗麗聶米坎堤權杖	(Faded) Purine Migantis Rod	(바랜)퓨리네 미간티스 로드
(褪色的)弗麗聶芙迪邁絲權杖	(Faded) Purine Pevordimas Rod	(바랜)퓨리네 페버디마스 로드
貝爾塔斯保羅史派亞	Berthas Baule Sphere	베르타스 보울 스피아
貝爾塔斯波馬涅權杖	Berthas Pamane Rod	베르타스 파마네 로드
貝爾塔斯塞柯帝斯權杖	Berthas Sketis Rod	베르타스 스케티스 로드
貝爾塔斯帕澤里達斯權杖	Berthas Pajoritas Rod	베르타스 파저리타스 로드
貝爾塔斯米坎堤權杖	Berthas Migantis Rod	베르타스 미간티스 로드
貝爾塔斯芙迪邁絲權杖	Berthas Pevordimas Rod	베르타스 페버디마스 로드
貝爾塔斯拉帕伊權杖	Berthas Raffye Rod	베르타스 라파이 로드
札伊瑪權杖	Zaima	자이마
艾帕斯權杖	Epos	에포스
閃耀權杖	Twinkle Rod	반짝 로드
卡拉圖尼斯權杖	Galatunis Rod	갈라투니스 로드
瑪加權杖	Maga Rod	마가 로드
羅洛班索權杖	Lolopanther Rod	롤로팬서 로드
索爾米奇權杖	Solmiki Rod	솔미키 로드
榮耀之心	Heart of Glory	하트 오브 글로리
普利摩斯保羅史派亞	Primus Baule Sphere	프리머스 보울 스피아
普利摩斯波馬涅權杖	Primus Pamane Rod	프리머스 파마네 로드
普利摩斯塞柯帝斯權杖	Primus Sketis Rod	프리머스 스케티스 로드
普利摩斯帕澤里達斯權杖	Primus Pajoritas Rod	프리머스 파저리타스 로드
普利摩斯米坎堤權杖	Primus Migantis Rod	프리머스 미간티스 로드
普利摩斯芙迪邁絲權杖	Primus Pevordimas Rod	프리머스 페버디마스 로드
普利摩斯拉帕伊權杖	Primus Raffye Rod	프리머스 라파이 로드
摩西尼奧斯權杖	Masinios Rod	마시니오스 로드
無_weapon_THBow	Empty_weapon_THBow	없음_weapon_THBow
老舊輕巧弓	Old Light Bow	오래된 라이트 보우
輕巧弓	Light Bow	라이트 보우
簡陋短弓	Crude Short Bow	크루드 숏 보우
簡陋長弓	Crude Longbow	크루드 롱 보우
合成弓	Composite Bow	컴포지트 보우
單弓	Self Bow	셀프 보우
洛卡斯弓	Rokas Bow	로카스 보우
古里托斯弓	Gorithos	고리토스
窟拉伊爾弓	Gulail	굴라일
卡曼弓	Kaman	카만
老舊洛卡斯弓	Old Rokas Bow	오래된 로카스 보우
老舊古里托斯	Old Gorithos	오래된 고리토스
士兵的輕巧弓	Soldier's Light Bow	병사의 라이트 보우
村長的短弓	Mayor's Short Bow	촌장의 숏 보우
老舊長弓	Old Long Bow	오래된 롱 보우
肯達瓦弓	Gendawa	겐다와
上級輕巧弓	Superior Light Bow	슈페리어 라이트 보우
短弓	Short Bow	숏 보우
上級短弓	Superior Short Bow	슈페리어 숏 보우
長弓	Long Bow	롱 보우
上級合成弓	Superior Composite Bow	슈페리어 컴포지트 보우
上級單弓	Superior Self Bow	슈페리어 셀프 보우
上級洛卡斯弓	Superior Rokas Bow	슈페리어 로카스 보우
鄧凱爾單弓	Dunkel Self Bow	던켈 셀프 보우
鄧凱爾卡曼弓	Dunkel Kaman	던켈 카만
鄧凱爾短弓	Dunkel Short Bow	던켈 숏 보우
鄧凱爾長弓	Dunkel Long Bow	던켈 롱 보우
鄧凱爾合成弓	Dunkel Composite Bow	던켈 컴포지트 보우
鄧凱爾洛卡斯弓	Dunkel Rokas Bow	던켈 로카스 보우
反曲弓	Recurve Bow	리커브 보우
掠奪弓	Siege Bow	시즈 보우
狙擊弓	Sniper Bow	스나이퍼 보우
骷髏弓	Skull Bow	스컬 보우
木頭組合弓	Wooden Compound Bow	우든 컴파운드 보우
標記弓	Tag Bow	태그 보우
原木弓	Rogue Bow	로그 보우
約魯基斯掠奪弓	Yorgis Siege Bow	요르기스 시즈 보우
麗奇之弓	Wreech Bow	리치 보우
上級麗奇之弓	Superior Wreech Bow	슈페리어 리치 보우
(褪色的)複製品米坎堤之弓	(Faded) Replica Migantis Bow	(바랜)레플리카 미간티스 보우
(褪色的)複製品芙迪邁絲之弓	(Faded) Replica Pevordimas Bow	(바랜)레플리카 페버디마스 보우
標準弓	Standard Bow	기준활
探索者弓	Seeker	시커
鐵弓	Iron Bow	아이언 보우
鷹弓	Hawk Bow	호크 보우
凱米尼斯弓	Cheminis Bow	케미니스 보우
狩獵弓	Hunting Bow	헌팅 보우
創造者弓	Maker Bow	메이커 보우
野性之弓	Savage Bow	새비지 보우
蛇形弓	Snake Bow	스네이크 보우
印帕勒尼弓	Imperni Bow	임페르니 보우
雷特娜之弓	Lethena Bow	레테나 보우
強弓	Strong Bow	스트롱 보우
士兵的短弓	Soldier's Short Bow	병사의 숏 보우
普利弓	Pulley Bow	퓰리 보우
史密斯弓	Smith Bow	스미스 보우
葛拉比斯弓	Klavis Bow	클라비스 보우
迪奧弓	Dio Bow	디오 보우
特雷希弓	Thresh Bow	트레시 보우
塞茲塔斯弓	Sestas Bow	세스타스 보우
德拉特弓	Dratt Bow	드라트 보우
亞斯頓弓	Aston Bow	아스턴 보우
泰內弓	Tenet Bow	테넷 보우
帕特里斯弓	Patrice Bow	파트리스 보우
魯卡斯弓	Lukas Bow	루카스 보우
皮里斯弓	Philies Bow	필리스 보우
艾沙奇烏弓	Escanciu Bow	에산치우 보우
克雷格弓	Krag Bow	크래그 보우
朝聖者弓	Pilgrim Bow	필그림 보우
伊斯托拉弓	Istora Bow	이스토라 보우
雷電掠奪弓	Lightning Siege Bow	라이트닝 시즈 보우
比尼狙擊弓	Vienie Sniper Bow	비니 스나이퍼 보우
大地骷髏弓	Earth Skull Bow	어스 스컬 보우
露瑪斯弓	Lumas Bow	루마스 보우
毒藥木頭組合弓	Poison Wooden Compound Bow	포이즌 우든 컴파운드 보우
優黛雷標記弓	Futere Tag Bow	퓨테레 태그 보우
比尼原木弓	Vienie Rogue Bow	비니 로그 보우
狩獵麗奇之弓	Hunting Wreech Bow	헌팅 리치 보우
魔氣卡曼弓	Magi Kaman	마기 카만
輕巧古里托斯弓	Light Gorithos	라이트 고리토스
支援用掠奪弓	Supportive Siege Bow	지원용 시즈 보우
泰芙林弓	Tevhrin Bow	테브린 보우
(褪色的)米坎堤之弓	(Faded) Migantis Bow	(바랜)미간티스 보우
(褪色的)芙迪邁絲之弓	(Faded) Pevordimas Bow	(바랜)페버디마스 보우
邪惡之眼	Even Eye	이븐 아이
德菲聶之弓	Devini Bow	데비니 보우
塞柯帝斯之弓	Sketis Bow	스케티스 보우
帕澤里達斯之弓	Pajoritas Bow	파저리타스 보우
米坎堤之弓	Migantis Bow	미간티스 보우
芙迪邁絲之弓	Pevordimas Bow	페버디마스 보우
拉帕伊弓	Raffye Bow	라파이 보우
狂野汎弓	Wildling Bane	와이들링 베인
平衡弓	Equalizer	이퀄라이저
心之探索者弓	Heart Seeker	하트 시커
毒蛇弓	Viper	바이퍼
死亡魔女弓	Deathweaver Bow	데스위버 보우
死靈查普利弓	Chapparition Bow	채퍼리션 보우
伊克塞爾弓	Excel Bow	익셀 보우
標註者	Marksman	마크맨
賽伊摩斯弓	Seimos Bow	세이모스 보우
堤爾利弓	Tilly Bow	틸리 보우
卡斯堤弓	Khasti Bow	카스티 보우
班夏拉弓	Pensara Bow	펜사라 보우
阿弗卡屋雷弓	Aufgowle Bow	아프가울레 보우
(褪色的)邪惡之眼	(Faded) Even Eye	(바랜)이븐 아이
(褪色的)德菲聶之弓	(Faded) Devini Bow	(바랜)데비니 보우
(褪色的)塞柯帝斯之弓	(Faded) Sketis Bow	(바랜)스케티스 보우
(褪色的)帕澤里達斯之弓	(Faded) Pajoritas Bow	(바랜)파저리타스 보우
(褪色的)弗麗聶米坎堤之弓	(Faded) Purine Migantis Bow	(바랜)퓨리네 미간티스 보우
(褪色的)弗麗聶芙迪邁絲之弓	(Faded) Purine Pevordimas Bow	(바랜)퓨리네 페버디마스 보우
貝爾塔斯邪惡之眼	Berthas Even Eye	베르타스 이븐 아이
貝爾塔斯德菲聶之弓	Berthas Devini Bow	베르타스 데비니 보우
貝爾塔斯塞柯帝斯之弓	Berthas Sketis Bow	베르타스 스케티스 보우
貝爾塔斯帕澤里達斯之弓	Berthas Pajoritas Bow	베르타스 파저리타스 보우
貝爾塔斯米坎堤弓	Berthas Migantis Bow	베르타스 미간티스 보우
貝爾塔斯芙迪邁絲弓	Berthas Pevordimas Bow	베르타스 페버디마스 보우
貝爾塔斯拉帕伊弓	Berthas Raffye Bow	베르타스 라파이 보우
鮮血增益弓	Blood Gain	블러드 게인
暴風射手弓	Tempest Shooter	템페스트 슈터
卡拉圖尼斯弓	Galatunis Bow	갈라투니스 보우
瑪加弓	Maga Bow	마가 보우
羅洛班索弓	Lolopanther Bow	롤로팬서 보우
索爾米奇弓	Solmiki Bow	솔미키 보우
阿斯特拉弓	Astra Bow	아스트라 보우
普利摩斯邪惡之眼	Primus Even Eye	프리머스 이븐 아이
普利摩斯德菲聶之弓	Primus Devini Bow	프리머스 데비니 보우
普利摩斯塞柯帝斯之弓	Primus Sketis Bow	프리머스 스케티스 보우
普利摩斯帕澤里達斯之弓	Primus Pajoritas Bow	프리머스 파저리타스 보우
普利摩斯米坎堤弓	Primus Migantis Bow	프리머스 미간티스 보우
普利摩斯芙迪邁絲弓	Primus Pevordimas Bow	프리머스 페버디마스 보우
普利摩斯拉帕伊弓	Primus Raffye Bow	프리머스 라파이 보우
摩西尼奧斯弓	Masinios Bow	마시니오스 보우
固定弓	Fixed Bow	고정활
無_weapon_Bow	Empty_weapon_Bow	없음_weapon_Bow
簡陋輕巧十字弓	Crude Light Crossbow	크루드 라이트 크로스보우
簡陋十字弓	Crude Crossbow	크루드 크로스보우
鬥庫十字弓	Dokyu	도큐
方鏃箭弓	Quarrel Bow	쿼렐보우
奧克十字弓	Oak Crossbow	오크 크로스보우
封印十字弓	Seal Crossbow	씰 크로스보우
石弩	Catapult	캐타펄트
齒輪弩	Cranequin	크래인퀸
老舊奧克十字弓	Old Oak Crossbow	오래된 오크 크로스보우
老舊封印十字弓	Old Seal Crossbow	오래된 씰 크로스보우
狙擊十字弓	Sniper Crossbow	스나이퍼 크로스보우
輕巧十字弓	Light Crossbow	라이트 크로스보우
上級輕巧十字弓	Superior Light Crossbow	슈페리어 라이트 크로스보우
十字弓	Crossbow	크로스보우
上級鬥庫十字弓	Superior Dokyu	슈페리어 도큐
上級方鏃箭弓	Superior Quarrel Bow	슈페리어 쿼렐보우
上級奧克十字弓	Superior Oak Crossbow	슈페리어 오크 크로스보우
鄧凱爾方鏃箭弓	Dunkel Quarrel Bow	던켈 쿼렐보우
鄧凱爾齒輪弩	Dunkel Cranequin	던켈 크래인퀸
鄧凱爾十字弓	Dunkel Crossbow	던켈 크로스보우
鄧凱爾鬥庫十字弓	Dunkel Dokyu	던켈 도큐
鄧凱爾奧克十字弓	Dunkel Oak Crossbow	던켈 오크 크로스보우
勁弩	Arbalest	아바레스트
佩迪米安砲塔	Fedimian Turret	페디미안 터렛
老將十字弓	Veteran Crossbow	베테랑 크로스보우
彈藥射手	Bullet Shooter	뷸렛 슈터
黑尖弓	Black Tip Bow	블랙 팁 보우
尖錐十字弓	Spiked Crossbow	스파이크 크로스보우
滑輪弩	Windlass	윈드래스
約魯基斯佩迪米安炮塔	Yorgis Fedimian Turret	요르기스 페디미안 터렛
克雷德射手弓	Kracked Shooter	크랙드 슈터
上級克雷德射手弓	Superior Kracked Shooter	슈페리어 크랙드 슈터
(褪色的)複製品米坎堤十字弓	(Faded) Replica Migantis Crossbow	(바랜)레플리카 미간티스 크로스보우
(褪色的)複製品芙迪邁絲十字弓	(Faded) Replica Pevordimas Crossbow	(바랜)레플리카 페버디마스 크로스보우
標準弩弓	Standard Crossbow	기준쇠뇌
上級十字弓	Superior Crossbow	슈페리어 크로스보우
懷特十字弓	Wide Crossbow	와이드 크로스보우
格蘭德十字弓	Grand Cross	그랜드 크로스
凱米尼斯十字弓	Cheminis Crossbow	케미니스 크로스보우
梅迪納十字弓	Medina Crossbow	메디나 크로스보우
女王十字弓	Regina Crossbow	레지나 크로스보우
命中十字弓	Accuracy Crossbow	어큐러시 크로스보우
印帕勒尼十字弓	Imperni Crossbow	임페르니 크로스보우
古墓十字弓	Grave Crossbow	그레이브 크로스보우
史密斯十字弓	Smith Crossbow	스미스 크로스보우
葛拉比斯十字弓	Klavis Crossbow	클라비스 크로스보우
迪奧十字弓	Dio Crossbow	디오 크로스보우
特雷希十字弓	Thresh Crossbow	트레시 크로스보우
塞茲塔斯十字弓	Sestas Crossbow	세스타스 크로스보우
德拉特十字弓	Dratt Crossbow	드라트 크로스보우
亞斯頓十字弓	Aston Crossbow	아스턴 크로스보우
泰內十字弓	Tenet Crossbow	테넷 크로스보우
帕特里斯十字弓	Patrice Crossbow	파트리스 크로스보우
魯卡斯十字弓	Lukas Crossbow	루카스 크로스보우
皮里斯十字弓	Philis Crossbow	필리스 크로스보우
艾沙奇烏十字弓	Escanciu Crossbow	에산치우 크로스보우
克雷格十字弓	Krag Crossbow	크래그 크로스보우
朝聖者十字弓	Pilgrim Crossbow	필그림 크로스보우
伊斯托拉十字弓	Istora Crossbow	이스토라 크로스보우
艾奇佩迪米安砲塔	Eki Fedimian Turret	에키 페디미안 터렛
亞蒂老將十字弓	Eki Veteran Crossbow	아티 베테랑 크로스보우
上帝彈藥射手	Holy Bullet Shooter	홀리 뷸렛 슈터
露瑪斯十字弓	Lumas Crossbow	루마스 크로스보우
比特黑尖弓	Vitt Black Tip Shooter	비트 블랙 팁 보우
比尼尖錐十字弓	Vienie Spiked Crossbow	비니 스파이크 크로스보우
比尼滑輪弩	Vienie Windlass	비니 윈드래스
輕巧克雷德射手弓	Light Kracked Shooter	라이트 크랙드 슈터
阿達塔齒輪弩	Adata Cranequin	아다타 크래인퀸
迪德爾克雷德射手弓	Didel Kracked Shooter	디델 크랙드 슈터
支援用佩迪米安砲塔	Supportive Fedimian Turret	지원용 페디미안 터렛
泰芙林十字弓	Tevhrin Crossbow	테브린 크로스보우
(褪色的)米坎堤十字弓	(Faded) Migantis Crossbow	(바랜)미간티스 크로스보우
(褪色的)芙迪邁絲十字弓	(Faded) Pevordimas Crossbow	(바랜)페버디마스 크로스보우
星之射手	Star Shooter	스타 슈터
克里爾基斯射手	Chrisius Shooter	크리지우스 슈터
塞柯帝斯十字弓	Sketis Crossbow	스케티스 크로스보우
帕澤里達斯十字弓	Pajoritas Crossbow	파저리타스 크로스보우
米坎堤十字弓	Migantis Crossbow	미간티스 크로스보우
芙迪邁絲十字弓	Pevordimas Crossbow	페버디마스 크로스보우
拉帕伊十字弓	Raffye Crossbow	라파이 크로스보우
射擊之星	Shooting Star	슈팅스타
卡汀槍十字弓	Kateen Blaster	카틴 블라스터
格拉宙斯弓	Grajus	그라주스
死亡魔女十字弓	Deathweaver Crossbow	데스위버 크로스보우
死靈查普利射手弓	Chapparition Shooter	채퍼리션 슈터
卡拉恰十字弓	Karacha Crossbow	카라챠 크로스보우
強盜	Bandit	밴딧
迪德爾格蘭德十字弓	Didel Grand Cross	디델 그랜드 크로스
賽伊摩斯十字弓	Seimos Crossbow	세이모스 크로스보우
瑪加斯射手弓	Magas Shooter	마가스 슈터
班夏拉十字弓	Pensara Crossbow	펜사라 크로스보우
大理石格蘭德十字弓	Marble Grand Cross	마블 그랜드 크로스
銀鷹十字弓	Silver Hawk	실버 호크
(褪色的)星之射手	(Faded) Star Shooter	(바랜)스타 슈터
(褪色的)克里爾基斯射手	(Faded) Chrisius Shooter	(바랜)크리지우스 슈터
(褪色的)塞柯帝斯十字弓	(Faded) Sketis Crossbow	(바랜)스케티스 크로스보우
(褪色的)帕澤里達斯十字弓	(Faded) Pajoritas Crossbow	(바랜)파저리타스 크로스보우
(褪色的)弗麗聶米坎堤十字弓	(Faded) Purine Migantis Crossbow	(바랜)퓨리네 미간티스 크로스보우
(褪色的)弗麗聶芙迪邁絲十字弓	(Faded) Purine Pevordimas Crossbow	(바랜)퓨리네 페버디마스 크로스보우
貝爾塔斯星之射手	Berthas Star Shooter	베르타스 스타 슈터
貝爾塔斯克里爾基斯射手	Berthas Chrisius Shooter	베르타스 크리지우스 슈터
貝爾塔斯塞柯帝斯十字弓	Berthas Sketis Crossbow	베르타스 스케티스 크로스보우
貝爾塔斯帕澤里達斯十字弓	Berthas Pajoritas Crossbow	베르타스 파저리타스 크로스보우
貝爾塔斯米坎堤十字弓	Berthas Migantis Crossbow	베르타스 미간티스 크로스보우
貝爾塔斯芙迪邁絲十字弓	Berthas Pevordimas Crossbow	베르타스 페버디마스 크로스보우
貝爾塔斯拉帕伊十字弓	Berthas Raffye Crossbow	베르타스 라파이 크로스보우
伊斯巴利堤弩	Isbality	이스발리티
死亡之弩	Morto	모르토
魯馬十字弓	Ruma Crossbow	루마 크로스보우
卡拉圖尼斯十字弓	Galatunis Crossbow	갈라투니스 크로스보우
地下墓穴射手弓	Catacombs Shooter	카타콤 슈터
羅洛班索十字弓	Lolopanther Crossbow	롤로팬서 크로스보우
索爾米奇十字弓	Solmiki Crossbow	솔미키 크로스보우
里加德角十字弓	Regard Horn Crossbow	리가드 혼 크로스보우
普利摩斯星之射手	Primus Star Shooter	프리머스 스타 슈터
普利摩斯克里爾基斯射手	Primus Crisius Shooter	프리머스 크리지우스 슈터
普利摩斯塞柯帝斯十字弓	Primus Sketis Crossbow	프리머스 스케티스 크로스보우
普利摩斯帕澤里達斯十字弓	Primus Pajoritas Crossbow	프리머스 파저리타스 크로스보우
普利摩斯米坎堤十字弓	Primus Migantis Crossbow	프리머스 미간티스 크로스보우
普利摩斯芙迪邁絲十字弓	Primus Pevordimas Crossbow	프리머스 페버디마스 크로스보우
普利摩斯拉帕伊十字弓	Primus Raffye Crossbow	프리머스 라파이 크로스보우
摩西尼奧斯十字弓	Masinios Crossbow	마시니오스 크로스보우
無_weapon_Mace	Empty_weapon_Mace	없음_weapon_Mace
老舊木槌	Old Wooden Club	오래된 우든 클럽
單手鈍器[打擊]	One-handed Blunt Weapon [Strike]	한손둔기[타격]
木槌	Wooden Club	우든 클럽
鄧凱爾鐵槌	Dunkel Iron Club	던켈 아이언 클럽
簡陋鈍器	Crude Mace	크루드 메이스
晨星錘	Morning Star	모닝스타
大頭錘	Mallet	맬릿
早安棍	Goedendag	고덴닥
戰撬	Warpick	워픽
巨槌	Maul	마울
戰鬥鐵錘	Battle Hammer	배틀 해머
老舊早安棍	Old Goedendag	오래된 고덴닥
老舊戰撬	Old Warpick	오래된 워픽
士兵棒槌	Soldier's Club	병사의 클럽
村長鐵槌	Mayor's Iron Club	촌장의 아이언 클럽
老舊鈍器	Old Mace	오래된 메이스
騎兵鐵錘	Chekan	차칸
上級木槌	Superior Wooden Club	슈페리어 우든 클럽
鐵槌	Iron Club	아이언 클럽
上級鐵槌	Superior Iron Club	슈페리어 아이언 클럽
鈍器	Mace	메이스
上級晨星錘	Superior Morning Star	슈페리어 모닝스타
上級大頭錘	Superior Mallet	슈페리어 맬릿
